Date,Duration(min),Distance(km),Calories,Steps,AvgHR,MaxHR,BPM
2025-08-18T01:00:00Z,9,0.94,63,1188,128,146,160
2025-08-19T10:50:00Z,16,2.58,116,2240,137,156,165
2025-08-20T01:40:00Z,21,3.04,159,3108,143,163,170
2025-08-21T10:30:00Z,29,3.74,227,4524,152,173,175
2025-08-22T03:20:00Z,39,4.41,317,6396,163,185,180
2025-08-23T01:10:00Z,11,1.86,92,1452,133,156,185
2025-08-24T10:00:00Z,4,0.61,28,560,125,149,190
2025-08-25T01:50:00Z,8,1.10,58,1184,128,146,160
2025-08-26T10:40:00Z,15,1.81,113,2340,134,153,165
2025-08-27T01:30:00Z,20,2.10,157,3280,138,158,170
2025-08-28T10:20:00Z,29,4.67,235,3828,147,168,175
2025-08-29T03:10:00Z,40,5.80,336,5600,158,180,180
2025-08-30T01:00:00Z,13,1.68,91,1924,130,153,185
2025-08-31T10:50:00Z,5,0.56,36,780,122,146,190
2025-09-01T01:40:00Z,8,1.35,60,1312,126,144,160
2025-09-02T10:30:00Z,14,2.14,110,1848,133,152,165
2025-09-03T01:20:00Z,18,2.47,146,2520,139,159,170
2025-09-04T10:10:00Z,27,3.27,227,3996,149,170,175
2025-09-05T03:00:00Z,39,4.09,273,6084,163,185,180
2025-09-06T01:50:00Z,12,1.93,87,1968,135,158,185
2025-09-07T10:40:00Z,6,0.87,45,792,128,152,190
2025-09-08T01:30:00Z,9,1.16,71,1260,131,149,160
2025-09-09T10:20:00Z,14,1.58,114,2072,135,154,165
2025-09-10T01:10:00Z,17,2.87,143,2652,137,157,170
2025-09-11T10:00:00Z,25,3.82,175,4100,144,165,175
2025-09-12T03:50:00Z,36,4.93,262,4752,155,177,180
2025-09-13T01:40:00Z,10,1.21,76,1400,127,150,185
2025-09-14T10:30:00Z,5,0.53,39,740,121,145,190
2025-09-15T01:20:00Z,10,1.61,81,1560,127,145,160
2025-09-16T10:10:00Z,16,2.32,134,2624,134,153,165
2025-09-17T01:00:00Z,19,2.45,133,2508,138,158,170
2025-09-18T10:50:00Z,26,2.94,189,3640,147,168,175
2025-09-19T03:40:00Z,36,6.08,272,5328,158,180,180
2025-09-20T01:30:00Z,10,1.53,78,1560,132,155,185
2025-09-21T10:20:00Z,5,0.69,41,820,127,151,190
2025-09-22T01:10:00Z,10,1.21,84,1320,132,150,160
2025-09-23T10:00:00Z,17,1.78,119,2380,139,158,165
2025-09-24T01:50:00Z,21,3.38,153,3108,143,163,170
2025-09-25T10:40:00Z,28,4.06,212,4368,149,170,175
2025-09-26T03:30:00Z,38,4.90,298,6232,158,180,180
2025-09-27T01:20:00Z,10,1.13,81,1320,128,151,185
2025-09-28T10:10:00Z,4,0.68,34,560,121,145,190
2025-09-29T01:00:00Z,9,1.38,63,1332,125,143,160
2025-09-30T10:50:00Z,16,2.19,116,2496,133,152,165
2025-10-01T01:40:00Z,21,2.54,159,3444,139,159,170
2025-10-02T10:30:00Z,29,3.04,227,3828,148,169,175
2025-10-03T03:20:00Z,40,6.44,325,5600,161,183,180
2025-10-04T01:10:00Z,12,1.74,101,1776,133,156,185
2025-10-05T10:00:00Z,4,0.52,28,624,125,149,190
2025-10-06T01:50:00Z,8,0.90,58,1312,130,148,160
2025-10-07T10:40:00Z,13,2.20,98,1716,136,155,165
2025-10-08T01:30:00Z,18,2.75,141,2520,141,161,170
2025-10-09T10:20:00Z,27,3.70,219,3996,149,170,175
2025-10-10T03:10:00Z,39,4.72,328,6084,161,183,180
2025-10-11T01:00:00Z,12,1.26,84,1968,131,154,185
2025-10-12T10:50:00Z,5,0.81,36,660,123,147,190
2025-10-13T01:40:00Z,8,1.16,60,1120,125,143,160
2025-10-14T10:30:00Z,13,1.68,102,1924,130,149,165
2025-10-15T01:20:00Z,17,1.92,138,2652,134,154,170
2025-10-16T10:10:00Z,25,4.22,210,4100,143,164,175
2025-10-17T03:00:00Z,37,5.66,259,4884,156,178,180
2025-10-18T01:50:00Z,11,1.51,80,1540,130,153,185
2025-10-19T10:40:00Z,6,0.73,45,888,126,150,190
2025-10-20T01:30:00Z,10,1.05,78,1560,131,149,160
2025-10-21T10:20:00Z,15,2.42,122,2460,137,156,165
2025-10-22T01:10:00Z,18,2.61,151,2376,141,161,170
2025-10-23T10:00:00Z,26,3.35,182,3640,149,170,175
2025-10-24T03:50:00Z,37,4.18,269,5476,160,182,180
2025-10-25T01:40:00Z,10,1.69,76,1560,131,154,185
2025-10-26T10:30:00Z,6,0.92,47,984,125,149,190
2025-10-27T01:20:00Z,11,1.51,89,1452,129,147,160
2025-10-28T10:10:00Z,17,2.06,143,2380,135,154,165
2025-10-29T01:00:00Z,21,2.21,147,3108,138,158,170
2025-10-30T10:50:00Z,28,4.51,204,4368,145,166,175
2025-10-31T03:40:00Z,38,5.51,287,6232,156,178,180
2025-11-01T01:30:00Z,10,1.29,78,1320,128,151,185
2025-11-02T10:20:00Z,4,0.45,32,560,122,146,190
2025-11-03T01:10:00Z,9,1.52,76,1332,129,147,160
2025-11-04T10:00:00Z,16,2.45,112,2496,137,156,165
2025-11-05T01:50:00Z,21,2.88,153,3444,144,164,170
2025-11-06T10:40:00Z,29,3.51,219,3828,152,173,175
2025-11-07T03:30:00Z,39,4.09,306,5460,163,185,180
2025-11-08T01:20:00Z,11,1.77,89,1628,133,156,185
2025-11-09T10:10:00Z,4,0.58,34,624,125,149,190
2025-11-10T01:00:00Z,7,0.90,49,1148,127,145,160
2025-11-11T10:50:00Z,14,1.58,102,1848,133,152,165
2025-11-12T01:40:00Z,18,3.04,136,2520,136,156,170
2025-11-13T10:30:00Z,27,4.13,212,3996,145,166,175
2025-11-14T03:20:00Z,39,5.34,317,6084,157,179,180
2025-11-15T01:10:00Z,12,1.45,101,1968,129,152,185
2025-11-16T10:00:00Z,5,0.53,35,660,122,146,190
2025-11-17T01:50:00Z,7,1.13,51,980,125,143,160
2025-11-18T10:40:00Z,13,1.88,98,1924,133,152,165
2025-11-19T01:30:00Z,17,2.19,133,2652,138,158,170
2025-11-20T10:20:00Z,26,2.94,211,4264,149,170,175
2025-11-21T03:10:00Z,38,6.42,319,5016,162,184,180
2025-11-22T01:00:00Z,12,1.84,84,1680,135,158,185
2025-11-23T10:50:00Z,6,0.82,44,888,128,152,190
2025-11-24T01:40:00Z,10,1.21,76,1560,131,149,160
2025-11-25T10:30:00Z,15,1.57,118,2460,135,154,165
2025-11-26T01:20:00Z,18,2.90,146,2376,137,157,170
2025-11-27T10:10:00Z,26,3.77,218,3640,145,166,175
2025-11-28T03:00:00Z,37,4.77,259,5476,155,177,180
2025-11-29T01:50:00Z,11,1.24,80,1716,128,151,185
2025-11-30T10:40:00Z,6,1.01,45,984,122,146,190
2025-12-01T01:30:00Z,11,1.68,86,1452,128,146,160
2025-12-02T10:20:00Z,17,2.33,138,2380,135,154,165
2025-12-03T01:10:00Z,20,2.42,168,2960,140,160,170
2025-12-04T10:00:00Z,27,2.83,189,4212,148,169,175
2025-12-05T03:50:00Z,37,5.96,269,6068,160,182,180
2025-12-06T01:40:00Z,10,1.45,76,1320,132,155,185
2025-12-07T10:30:00Z,5,0.65,39,700,127,151,190
2025-12-08T01:20:00Z,10,1.13,81,1480,132,150,160
2025-12-09T10:10:00Z,17,2.87,143,2652,139,158,165
2025-12-10T01:00:00Z,21,3.21,147,3444,142,162,170
2025-12-11T10:50:00Z,28,3.84,204,3696,148,169,175
2025-12-12T03:40:00Z,38,4.60,287,5320,158,180,180
2025-12-13T01:30:00Z,10,1.05,78,1480,127,150,185
2025-12-14T10:20:00Z,3,0.48,24,468,120,144,190
2025-12-15T01:10:00Z,7,1.01,59,1148,123,141,160
2025-12-16T10:00:00Z,14,1.81,98,1848,131,150,165
2025-12-17T01:50:00Z,19,2.15,138,2660,137,157,170
2025-12-18T10:40:00Z,28,4.73,212,4144,148,169,175
2025-12-19T03:30:00Z,39,5.97,306,6084,160,182,180
2025-12-20T01:20:00Z,11,1.51,89,1804,132,155,185
2025-12-21T10:10:00Z,4,0.48,34,528,126,150,190
2025-12-22T01:00:00Z,7,0.73,49,980,129,147,160
2025-12-23T10:50:00Z,13,2.09,95,1924,136,155,165
2025-12-24T01:40:00Z,17,2.46,129,2652,139,159,170
2025-12-25T10:30:00Z,26,3.35,204,4264,148,169,175
2025-12-26T03:20:00Z,39,4.41,317,5148,160,182,180
2025-12-27T01:10:00Z,12,2.03,101,1680,131,154,185
2025-12-28T10:00:00Z,6,0.92,42,888,123,147,190
